Timestamp,Email Address,Score,Percent,STUDENT First Name,STUDENT Last Name,TEACHER Last Name,PERIOD that you take THIS COURSE,SCHOOL,Question 1,Question 2,Question 3,Question 4,Question 5,Question 6,Question 7,Question 8,Question 9,Question 10,Question 11,Question 12,Question 13,Question 14,Question 15,Question 16,Question 17,Question 18,Question 19,Question 20,Question 21,Question 22,Question 23,Question 24,Question 25,Question 26,Question 27,Question 28,Question 29,Question 30
,,,,,,,,,44.54%,19.33%,5.04%,43.70%,53.78%,45.38%,15.97%,40.34%,56.30%,78.99%,82.35%,53.78%,44.54%,49.58%,63.87%,71.43%,48.74%,62.18%,51.26%,21.85%,60.50%,22.69%,41.18%,57.98%,26.89%,52.10%,60.50%,40.34%,24.37%,26.05%
,,,,,,,,,A,C,C,B,A,A,D,A,C,D,A,A,D,A,B,B,B,C,A,C,D,A,A,D,C,C,A,D,C,A
4/15/2019 9:45,0000000001@domain.edu,30-Jul,23%,Student_First_1,Student_Last_1,Teacher_2,1,School_1,C,D,A,D,D,B,C,C,B,D,D,C,B,C,B,B,A,A,A,D,D,C,C,C,B,C,B,D,A,C
4/15/2019 9:45,0000000002@domain.edu,30-Dec,40%,Student_First_2,Student_Last_2,Teacher_2,1,School_1,C,D,B,D,A,A,C,C,C,D,D,C,B,C,B,B,B,D,A,D,D,C,C,D,C,A,A,A,B,B
4/15/2019 9:45,0000000003@domain.edu,14 / 30,47%,Student_First_3,Student_Last_3,Teacher_2,1,School_1,A,D,B,A,A,A,C,D,C,D,A,A,A,C,B,D,B,C,D,D,D,C,B,D,A,B,A,C,B,A
4/15/2019 9:50,0000000004@domain.edu,14 / 30,47%,Student_First_4,Student_Last_4,Teacher_2,1,School_1,D,B,B,A,B,C,C,A,B,D,A,C,C,A,C,B,D,C,A,C,C,A,A,D,B,C,D,D,B,A
4/15/2019 10:00,0000000005@domain.edu,15 / 30,50%,Student_First_5,Student_Last_5,Teacher_2,1,School_1,B,B,B,A,A,B,D,A,C,A,A,B,B,C,B,B,B,C,D,B,D,A,B,D,D,C,A,D,B,C
4/15/2019 10:14,0000000006@domain.edu,30-Oct,33%,Student_First_6,Student_Last_6,Teacher_2,1,School_1,C,B,A,A,B,D,A,C,C,D,A,A,C,B,B,B,A,A,C,D,D,C,A,D,B,C,C,B,A,B
4/15/2019 10:22,0000000007@domain.edu,16 / 30,53%,Student_First_7,Student_Last_7,Teacher_1,2,School_1,C,B,B,D,C,B,C,D,C,D,A,A,D,A,B,B,B,C,A,A,D,C,A,C,B,C,A,A,B,A
4/15/2019 10:22,0000000008@domain.edu,16 / 30,53%,Student_First_8,Student_Last_8,Teacher_1,2,School_1,A,A,A,C,A,C,B,D,C,D,A,A,D,B,B,C,B,D,A,D,B,A,A,A,B,C,A,D,C,D
